avg_quiz_score,experience_years,quizzes_taken,role_similarity,actual_match
53.5,6,5,50,50
58.7,3,5,100,63
78,4,4,0,38
74.4,3,5,100,75
78.4,6,5,100,50
77.7,7,5,100,63
53,3,4,50,38
69.8,7,4,100,63
59.8,5,4,50,63
63,7,4,50,63
41,3,4,50,63
54.3,7,4,100,50
66.5,6,5,100,50
65.6,5,5,33,50
54,4,4,100,75
49.7,7,4,50,50
46.1,7,5,100,75
58.3,4,5,0,13
58.6,7,5,100,50
68.4,6,4,100,75
51,6,4,100,50
58.4,5,4,50,38
70.8,3,4,100,63
64.7,5,5,50,63
70.3,4,4,50,50
66.7,5,5,50,50
64.5,5,4,100,63
62.4,3,4,100,75
59.7,5,4,33,25
57.4,7,5,100,75
69.7,3,4,50,63
68.1,7,5,100,75
78.1,4,5,0,38
75.7,3,4,100,50
68.7,4,4,100,75
77.3,5,5,100,63
67.7,3,5,50,50
48.3,7,4,100,75
75.9,5,5,50,50
53.3,5,5,50,50
58.4,7,4,50,63
61.6,6,4,100,75
70.2,5,4,100,50
72.5,3,4,33,50
67.6,3,4,100,75
78.8,7,5,50,63
56.9,4,4,100,63
50.9,4,4,0,38
60.5,7,5,100,50
63.1,5,4,100,63
60.7,3,5,100,75
51.2,7,5,50,38
65.7,4,5,100,50
58.1,4,5,50,50
72.1,6,4,50,50
65.4,4,4,50,75
69,4,5,100,63
56.8,6,4,100,50
71.4,3,5,33,38
71.3,6,5,100,63
74.3,4,5,50,50
54.6,4,5,100,75
67.1,5,5,0,13
55.3,5,4,100,75
64.5,5,5,100,63
58.1,4,4,100,63
65,6,5,50,50
60,7,5,100,63
47.5,6,5,50,75
62.1,4,4,50,63
70.6,6,5,50,50
73.1,5,4,100,63
49.7,5,4,100,75
56.1,6,5,33,50
65.9,5,5,100,75
68,4,5,50,50
65.9,4,4,100,63
60.6,5,5,0,38
69.1,7,4,100,75
72.6,6,5,100,75
68.8,3,5,100,75
72.4,3,5,50,38
68.1,3,5,100,63
52.6,7,4,50,63
55.9,6,4,50,50
69.5,3,4,50,75
72.1,6,4,100,75
86.7,13,6,50,100
73.9,10,5,67,88
84,9,6,0,88
80,13,6,50,75
74.8,9,6,67,88
87.2,13,6,33,100
67.1,14,6,67,75
90.7,9,6,67,75
68.1,14,6,33,88
84.3,8,6,67,75
85.3,12,5,50,88
83.9,15,6,67,100
74.7,10,5,0,75
79.7,10,5,50,100
71.5,12,6,67,88
75.5,10,5,33,75
73.8,14,6,67,88
93.6,8,6,67,75
68.2,12,5,33,88
92.9,10,6,67,88
82.1,11,5,50,75
72.7,15,6,67,100
72.6,15,6,0,88
74.4,15,5,50,88
72,9,5,67,88
71.4,13,6,33,75
71.7,11,5,67,88
92.1,8,6,67,75
91,12,6,33,88
76.8,14,5,67,88
89.5,12,5,50,75
92.3,11,6,67,75
75.1,8,6,0,100
70.4,15,5,50,100
88.1,14,6,67,88
88.5,12,6,33,100
78,15,6,67,88
64.3,14,5,67,88
85.4,10,6,33,75
78.9,15,6,67,88
68.8,13,5,50,75
69.2,12,5,67,100
92.2,8,6,0,100
79.6,8,6,50,88
70.8,8,5,67,75
81.5,11,5,33,75
91,12,5,67,100
90.3,12,5,67,100
83,12,6,33,100
88,12,5,67,88
83,14,6,50,100
71.2,11,5,67,88
74.7,8,6,0,88
72.1,8,5,50,100
78,10,6,67,88
92.3,8,5,33,88
71.5,9,6,67,88
91.8,9,6,67,88
75.9,9,6,33,75
86.6,8,6,67,88
84,9,5,50,88
90.6,10,6,67,75
81,9,6,0,88
77.5,12,6,50,88
68.6,11,6,67,75
89.8,13,6,33,75
83.3,14,6,67,75
92.1,10,6,67,100
76.9,10,6,33,100
82.1,14,5,67,100
71.1,8,5,50,75
72.9,10,5,67,75
85.7,12,6,0,100
75.8,10,6,50,100
73.1,13,6,67,100
87.5,14,6,33,75
83.1,14,6,67,75
88.5,14,5,67,88
85.6,15,6,33,75
72.9,12,6,67,88
92.6,12,6,50,88
83.1,10,5,67,88
84.5,13,5,0,75
71.8,13,5,50,100
73,15,6,67,100
70.7,15,6,33,100
77.4,8,5,67,100
68.8,9,5,67,88
87.2,10,5,33,75
73.4,9,5,67,88
35,0,2,0,0
30,3,1,100,0
30,2,1,33,13
30,0,1,33,0
